
sucountry,cases,recovered,deaths,critical,tests
Taiwan,16181,15178,841,0,5919972
Aruba,15405,14970,165,7,177885
Andorra,15167,14966,130,4,193595
Mauritius,15161,1854,71,0,358675
Mali,15153,14260,547,0,415160
Lesotho,14395,6830,403,0,146630
Burkina Faso,14131,13800,180,0,217086
Congo,14113,12421,191,0,188207
Nicaragua,13730,4225,203,0,0
Djibouti,12253,11838,162,0,217089
Hong Kong,12186,11891,213,0,25235157
South Sudan,11926,11375,128,4,226848
Equatorial Guinea,11806,10225,142,1,195087
Iceland,11632,11251,33,3,1044502
Channel Islands,11466,11033,97,0,911340
CAR,11371,6859,100,2,60228
Saint Lucia,11053,8658,183,13,78448
Gambia,9911,9548,335,3,102031
Yemen,8891,5500,1682,23,265253
Barbados,7401,6363,64,0,306755
Isle of Man,7364,6790,51,1,83753
Eritrea,6694,6628,42,0,23693
Sierra Leone,6393,4380,121,0,160729
Brunei,6286,4188,37,0,330478
Guinea-Bissau,6099,5283,135,4,97355
Niger,5974,5723,201,0,154030
New Caledonia,5959,58,72,56,42756
Liberia,5782,5458,283,2,128246
Gibraltar,5510,5346,97,2,357343
San Marino,5419,5269,90,2,78220
Chad,5031,4850,174,0,145170
Bermuda,4982,3318,52,1,531049
Grenada,4829,2679,116,0,68065
Sint Maarten,4213,3984,63,10,41509
New Zealand,4162,3885,27,5,3316187
Comoros,4112,3953,147,0,0
Saint Martin,3727,1399,55,7,54303
Liechtenstein,3439,3336,60,1,49126
Sao Tome and Principe,3338,2675,49,0,14689
Monaco,3303,3241,33,6,54960
St. Vincent Grenadines,3247,2370,17,2,74642
Dominica,3197,2639,13,0,69333
Antigua and Barbuda,2902,1854,64,9,17409
Turks and Caicos,2830,2748,22,1,94789
British Virgin Islands,2642,2555,37,7,79575
Bhutan,2599,2593,3,0,1141592
Caribbean Netherlands,2010,1918,18,0,23069
Saint Kitts and Nevis,1800,970,10,1,37130
St. Barth,1565,462,3,0,38369
Tanzania,1367,183,50,7,0
Faeroe Islands,1115,1044,2,1,426000
Cayman Islands,795,747,2,0,136206
Diamond Princess,712,699,13,0,0
Greenland,553,398,0,2,71746
Wallis and Futuna,445,438,7,0,20508
Anguilla,364,345,1,0,38936
Falkland Islands,67,63,0,0,7531
Macao,66,63,0,0,4833
Montserrat,33,30,1,0,1408
Saint Pierre Miquelon,31,31,0,0,8671
Vatican City,27,27,0,0,0
Solomon Islands,20,20,0,0,4500
Western Sahara,10,8,1,0,0
MS Zaandam,9,7,2,0,0
Palau,5,5,0,0,9964
Vanuatu,4,3,1,0,23000
Marshall Islands,4,4,0,0,0
Samoa,3,3,0,0,0
Saint Helena,2,2,0,0,0
Micronesia,1,1,0,0,0
Total:,75120206,71319325,1111997,36123,0
Total:,52542115,40616764,1066503,29625,0
Total:,37694036,35693368,1151717,13328,0
Total:,58371794,53469942,1214574,11967,0
Total:,8306607,7593891,209070,3402,0
Total:,216567,167560,2753,438,0
Total:,721,706,15,0,0
Total:,232252046,208861556,4756629,94883,0
